Date,EURO,Platinum,Gold,Crude Oil,Silver,Ethereum,Yeng,^DJI,BITCOIN,new_cases,new_deaths
"[2018, 5, 8]",1.186788678,907.0999756,1312,69.05999756,16.38800049,752.2749634,0.0091755,24360.21094,9325.179688,0,0
"[2018, 5, 9]",1.184721828,911.5999756,1311.300049,71.13999939,16.45800018,727.2769775,0.0091185,24542.53906,9043.94043,0,0
"[2018, 5, 10]",1.19175303,920.5,1320.800049,71.36000061,16.68000031,679.5859985,0.0091445,24739.5293,8441.490234,0,0
"[2018, 5, 11]",,922.4000244,1319,70.69999695,16.6760006,,0.00915,24831.16992,8504.889648,0,0
"[2018, 5, 13]",1.195214391,925.4000244,,,,730.5490112,,,8716.790039,0,0
"[2018, 5, 14]",1.193118095,911.5,1316.5,70.95999908,16.56999969,708.8709717,0.009128,24899.41016,8510.379883,0,0
"[2018, 5, 15]",1.182088971,893.7999878,1288.900024,71.30999756,16.19400024,707.0499878,0.009079,24706.41016,8368.830078,0,0
"[2018, 5, 16]",1.181697845,886.5,1290.199951,71.48999786,16.29700089,672.6569824,0.0090875,24768.92969,8094.319824,0,0
"[2018, 5, 17]",1.179523468,889,1288.199951,71.48999786,16.41300011,694.3670044,0.0090455,24713.98047,8250.969727,0,0
"[2018, 5, 18]",,883.4000244,1290.199951,71.27999878,16.38699913,,0.009052,24715.08984,8247.179688,0,0
"[2018, 5, 20]",1.176664352,886.2000122,,,,699.2219849,,,8418.990234,0,0
"[2018, 5, 21]",1.179245353,896.7000122,1290.199951,72.23999786,16.45199966,647.7410278,0.0090155,25013.28906,8041.779785,0,0
"[2018, 5, 22]",1.178856015,905.7000122,1291.699951,72.12999725,16.50799942,583.585022,0.0090235,24834.41016,7557.819824,0,0
"[2018, 5, 23]",1.171015024,897.7000122,1289.300049,71.83999634,16.33799934,601.7550049,0.009099,24886.81055,7587.339844,0,0
"[2018, 5, 24]",1.172264218,909.5,1303.699951,70.70999908,16.62100029,586.7340088,0.009162,24811.75977,7480.140137,0,0
"[2018, 5, 25]",,898.2000122,1303.300049,67.87999725,16.4810009,,0.0091515,24753.08984,7355.879883,0,0
"[2018, 5, 27]",1.168893456,901,,,,516.0360107,,,7135.990234,0,0
"[2018, 5, 28]",1.162696123,,,,,565.3880005,,,7472.589844,0,0
"[2018, 5, 29]",1.153934956,902.7999878,1298.699951,66.73000336,16.30500031,559.5900269,0.0092485,24361.44922,7406.52002,0,0
"[2018, 5, 30]",1.166725039,910.4000244,1301.5,68.20999908,16.47900009,577.6450195,0.009196,24667.7793,7494.169922,0,0
"[2018, 5, 31]",1.169317126,909.2000122,1300.099976,67.04000092,16.40200043,580.0430298,0.009215,24415.83984,7541.450195,0,0
"[2018, 6, 1]",,904.7000122,1294.800049,65.80999756,16.38800049,,0.0091395,24635.21094,7643.450195,0,0
"[2018, 6, 3]",1.166861176,904.2000122,,,,592.9849854,,,7514.470215,0,0
"[2018, 6, 4]",1.170055985,901.5,1293.099976,64.75,16.37899971,609.3029785,0.0091195,24813.68945,7633.759766,0,0
"[2018, 6, 5]",1.172621608,899.2999878,1297.5,65.51999664,16.49099922,607.1240234,0.009118,24799.98047,7653.97998,0,0
"[2018, 6, 6]",1.178550363,905.5999756,1297.099976,64.73000336,16.6420002,605.1870117,0.009082,25146.39063,7678.240234,0,0
"[2018, 6, 7]",1.179523468,898.2999878,1298.699951,65.94999695,16.76600075,601.0770264,0.009119,25241.41016,7624.919922,0,0
"[2018, 6, 8]",,903.7000122,1298.099976,65.73999786,16.69400024,,0.0091385,25316.5293,7531.97998,0,0
"[2018, 6, 10]",1.178397655,908.2000122,,,,533.2839966,,,6906.919922,0,0
"[2018, 6, 11]",1.17741251,904.4000244,1298.900024,66.09999847,16.90500069,496.8430176,0.009093,25322.31055,6582.359863,0,0
"[2018, 6, 12]",1.174825907,899.5,1295.099976,66.36000061,16.84900093,477.493988,0.0090665,25320.73047,6349.899902,0,0
"[2018, 6, 13]",1.180776954,900.5,1296.900024,66.63999939,16.95299911,519.7420044,0.0090495,25201.19922,6675.350098,0,0
"[2018, 6, 14]",1.156657696,908.9000244,1304,66.88999939,17.22599983,491.0040283,0.009045,25175.31055,6456.580078,0,0
"[2018, 6, 15]",,885.7999878,1274.599976,65.05999756,16.45199966,,0.0090415,25090.48047,6550.160156,0,0
"[2018, 6, 17]",1.159595013,889.0999756,,,,518.8909912,,,6734.819824,0,0
"[2018, 6, 18]",1.163074613,881.9000244,1276.199951,65.84999847,16.41200066,537.9569702,0.0090575,24987.4707,6769.939941,0,0
"[2018, 6, 19]",1.158856034,862.9000244,1275.599976,65.06999969,16.3029995,536.2680054,0.0091025,24700.21094,6776.549805,0,0
"[2018, 6, 20]",1.157903314,872.0999756,1271.199951,66.22000122,16.28899956,527.3670044,0.0090755,24657.80078,6729.740234,0,0
"[2018, 6, 21]",1.160577536,861.2000122,1267.199951,65.54000092,16.30599976,465.8169861,0.0091175,24461.69922,6083.689941,0,0
"[2018, 6, 22]",,871.2999878,1267.400024,68.58000183,16.43899918,,0.0091145,24580.89063,6162.47998,0,0
"[2018, 6, 24]",1.16613996,878.7000122,,,,460.3100281,,,6249.180176,0,0
"[2018, 6, 25]",1.170274973,866.7999878,1265.599976,68.08000183,16.30800056,432.7720032,0.009152,24252.80078,6093.669922,0,0
"[2018, 6, 26]",1.165025949,869.2999878,1256.599976,70.52999878,16.23800087,442.3649902,0.009094,24283.10938,6157.129883,0,0
"[2018, 6, 27]",1.156363487,856.2999878,1252.800049,72.76000214,16.13899994,422.3649597,0.009086,24117.58984,5903.439941,0,0
"[2018, 6, 28]",1.156296611,850.2999878,1247.800049,73.44999695,15.95100021,436.0090027,0.0090485,24216.05078,6218.299805,0,0
"[2018, 6, 29]",,852.4000244,1251.300049,74.15000153,16.10400009,,0.0090285,24271.41016,6404,0,0
"[2018, 7, 1]",1.167855859,856.4000244,,,,475.3469849,,,6614.180176,0,0
"[2018, 7, 2]",1.164212108,809,1239.800049,73.94000244,15.74400043,464.1950378,0.0090265,24307.17969,6529.589844,0,0
"[2018, 7, 3]",1.165922403,,,,,467.3179932,,24174.82031,6597.549805,0,0
"[2018, 7, 4]",1.166235089,,,,,474.4120178,,,6639.140137,0,0
"[2018, 7, 5]",1.169590592,837.0999756,1257.300049,72.94000244,16.00799942,474.0119934,0.0090405,24356.74023,6673.5,0,0
"[2018, 7, 6]",,844.2000122,1254.300049,73.80000305,15.98099995,,0.0090585,24456.48047,6856.930176,0,0
"[2018, 7, 8]",1.175226212,848.4000244,,,,476.6820068,,,6741.75,0,0
"[2018, 7, 9]",1.175696015,849,1258.099976,73.84999847,16.0529995,434.4240112,0.0090275,24776.58984,6329.950195,0,0
"[2018, 7, 10]",1.17270422,842,1253.800049,74.11000061,16.00300026,446.5180054,0.0089875,24919.66016,6394.709961,0,0
